City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
224,Nikolskoye,59.7,30.79,68.0,40,0,Clear,11.18,RU,2020-06-28 16:18:45,0.0,0
225,Morehead,37.27,-87.18,69.8,100,90,Rain,12.82,US,2020-06-28 16:20:31,0.0,0
226,Umm Lajj,25.02,37.27,90.0,44,45,Clouds,8.28,SA,2020-06-28 16:20:31,0.0,0
227,Pouebo,-20.4,164.57,67.21,78,28,Clouds,8.81,NC,2020-06-28 16:20:31,0.0,0
228,Hofn,64.25,-15.21,62.6,63,75,Rain,21.92,IS,2020-06-28 16:17:39,0.0,0
229,Kodiak,57.79,-152.41,51.8,87,90,Clouds,9.17,US,2020-06-28 16:17:30,0.0,0
230,The Pas,53.83,-101.25,60.8,87,90,Rain,5.57,CA,2020-06-28 16:20:31,0.0,0
231,Chokurdakh,70.63,147.92,53.38,59,100,Clouds,10.83,RU,2020-06-28 16:18:26,0.0,0
232,Alyangula,-13.85,136.42,66.2,93,87,Clouds,9.91,AU,2020-06-28 16:20:31,0.0,0
233,Port Hardy,50.7,-127.42,57.2,76,20,Clouds,5.82,CA,2020-06-28 16:20:31,0.0,0
234,Yumen,40.28,97.2,72.16,27,0,Clear,13.42,CN,2020-06-28 16:17:31,0.0,0
235,La Ronge,55.1,-105.28,64.4,82,75,Clouds,4.7,CA,2020-06-28 16:18:42,0.0,0
236,Xining,36.62,101.77,58.87,47,5,Clear,1.72,CN,2020-06-28 16:20:31,0.0,0
237,Lumphat,13.49,106.98,74.62,96,78,Clouds,2.59,KH,2020-06-28 16:20:31,0.0,0
238,Mujiayingzi,42.12,118.78,72.66,56,96,Clouds,3.69,CN,2020-06-28 16:18:24,0.0,0
239,Limbe,4.02,9.21,82.4,78,75,Clouds,3.36,CM,2020-06-28 16:20:31,0.0,0
240,Ifanadiana,-21.3,47.63,62.74,93,0,Clear,1.79,MG,2020-06-28 16:20:31,0.0,0
241,Paamiut,61.99,-49.67,40.57,90,100,Clouds,6.31,GL,2020-06-28 16:16:49,0.0,0
242,Veraval,20.9,70.37,87.04,77,16,Clouds,12.21,IN,2020-06-28 16:20:32,0.0,0
